store_id,store_code,store_name,channel,hc,region,province,mcp,isActive,createdAt,createdBy,updatedBy
52007055,5106,DMM_HYE_ATH - An Thi,DMX,0,North,Hung Yen,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007086,5108,DMM_NBI_GVI - Gia Tran,DMX,0,North,Ninh Binh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007188,5127,DMM_BDI_HNH - Tam Quan,DMX,0,Central,Binh Dinh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007298,5129,DMM_HCM_GVA - 330 Le Van Tho,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007219,5168,DMM_BTH_TPH - Vinh Tan,DMX,0,South,Binh Thuan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007180,5243,DMM_NDI_HHA - Hai Anh,DMX,0,North,Nam Dinh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007217,5248,DMM_BTR_TPH - Giao Thanh,DMX,0,Mekong,Ben Tre,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007138,5315,DMM_TBI_KXU - Thanh Ne,DMX,0,North,Thai Binh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007132,5317,DMM_LSO_BGI - Binh Gia,DMX,0,North,Lang Son,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007321,5318,DMM_TBI_HHA - Hung Nhan,DMX,0,North,Thai Binh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007203,5320,DMM_PTH_YLA - Yen Lap,DMX,0,North,Phu Tho,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007270,5322,DMM_AGI_APH - Long Binh,DMX,0,Mekong,An Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007301,5327,DMM_DNA_HVA - Hoa Tien (Duong 605),DMX,0,Central,Da Nang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007248,5350,DMM_TNI_TBA - An Tinh,DMX,0,South,Tay Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
